assembly	binner	bin	ko	n_genes
coassembly	dastool	coassembly.concoct.1	K00114	3
coassembly	dastool	coassembly.concoct.1	K00128	3
coassembly	dastool	coassembly.concoct.1	K00368	2
coassembly	dastool	coassembly.concoct.1	K00446	3
coassembly	dastool	coassembly.concoct.1	K00496	1
coassembly	dastool	coassembly.concoct.1	K00958	1
coassembly	dastool	coassembly.concoct.1	K01055	1
coassembly	dastool	coassembly.concoct.1	K02014	1
coassembly	dastool	coassembly.concoct.1	K03088	4
coassembly	dastool	coassembly.concoct.1	K03381	3
coassembly	dastool	coassembly.concoct.1	K03781	3
coassembly	dastool	coassembly.concoct.1	K04112	3
coassembly	dastool	coassembly.concoct.1	K05549	1
coassembly	dastool	coassembly.concoct.1	K05550	1
coassembly	dastool	coassembly.concoct.1	K06147	3
coassembly	dastool	coassembly.concoct.1	K10944	1
coassembly	dastool	coassembly.concoct.1	K14579	3
coassembly	dastool	coassembly.concoct.1	K14580	1
coassembly	dastool	coassembly.concoct.1	K14581	1
coassembly	dastool	coassembly.concoct.1	K14582	1
coassembly	dastool	coassembly.concoct.1	K15864	3
coassembly	dastool	coassembly.concoct.1	K18089	3
coassembly	dastool	coassembly.concoct.16	K00368	3
coassembly	dastool	coassembly.concoct.16	K00376	2
coassembly	dastool	coassembly.concoct.16	K00394	2
coassembly	dastool	coassembly.concoct.16	K00496	2
coassembly	dastool	coassembly.concoct.16	K02014	3
coassembly	dastool	coassembly.concoct.16	K02588	1
coassembly	dastool	coassembly.concoct.16	K03088	4
coassembly	dastool	coassembly.concoct.16	K03386	2
coassembly	dastool	coassembly.concoct.16	K03781	2
coassembly	dastool	coassembly.concoct.16	K03782	1
coassembly	dastool	coassembly.concoct.16	K04112	3
coassembly	dastool	coassembly.concoct.16	K04113	1
coassembly	dastool	coassembly.concoct.16	K04564	2
coassembly	dastool	coassembly.concoct.16	K04565	2
coassembly	dastool	coassembly.concoct.16	K05549	3
coassembly	dastool	coassembly.concoct.16	K05550	2
coassembly	dastool	coassembly.concoct.16	K06147	5
coassembly	dastool	coassembly.concoct.16	K07540	2
coassembly	dastool	coassembly.concoct.16	K10944	3
coassembly	dastool	coassembly.concoct.16	K14580	3
coassembly	dastool	coassembly.concoct.16	K14581	3
coassembly	dastool	coassembly.concoct.16	K15864	1
coassembly	dastool	coassembly.concoct.16	K18089	3
coassembly	dastool	coassembly.concoct.16	K19745	2
coassembly	dastool	coassembly.metabat2.1	K00368	3
coassembly	dastool	coassembly.metabat2.1	K00376	3
coassembly	dastool	coassembly.metabat2.1	K00446	2
coassembly	dastool	coassembly.metabat2.1	K01055	2
coassembly	dastool	coassembly.metabat2.1	K01856	1
coassembly	dastool	coassembly.metabat2.1	K02014	5
coassembly	dastool	coassembly.metabat2.1	K03088	1
coassembly	dastool	coassembly.metabat2.1	K04113	2
coassembly	dastool	coassembly.metabat2.1	K04565	2
coassembly	dastool	coassembly.metabat2.1	K05550	3
coassembly	dastool	coassembly.metabat2.1	K06147	3
coassembly	dastool	coassembly.metabat2.1	K11181	1
coassembly	dastool	coassembly.metabat2.1	K14580	1
coassembly	dastool	coassembly.metabat2.1	K14581	1
coassembly	dastool	coassembly.metabat2.1	K14582	3
coassembly	dastool	coassembly.metabat2.1	K14583	1
coassembly	dastool	coassembly.metabat2.1	K19745	1
