contigName	contigLen	totalAvgDepth	minigut1.sorted.bam	minigut1.sorted.bam-var	minigut2.sorted.bam	minigut2.sorted.bam-var
k141_1	1325	3.01277	0	0	3.01277	1.56626
k141_4	511	1.96676	0	0	1.96676	0.593336
k141_8	14430	6.143	6.1007	6.36204	0.0422969	0.0405017
k141_9	621	2.47983	0	0	2.47983	0.718205
k141_11	804	2.95719	0	0	2.95719	3.29373
k141_13	760	1.86557	0	0	1.86557	0.42525
k141_17	697	1.65814	0	0	1.65814	0.251047
k141_18	11496	8.00317	8.00317	9.13101	0	0
k141_24	8396	6.24218	6.16893	6.83201	0.0732476	0.0678952
k141_31	631	2.33264	0	0	2.33264	1.06413
k141_32	4446	7.19716	7.19716	6.79077	0	0
k141_33	539	2.70437	0	0	2.70437	0.471656
k141_35	732	2.67869	0	0	2.67869	0.903468
k141_37	794	6.51087	6.51087	8.26582	0	0
k141_41	564	2.37198	0	0	2.37198	0.316501
k141_42	21034	8.03304	8.03304	7.22933	0	0
k141_44	1333	2.72697	0	0	2.72697	0.995609
k141_50	552	2.20149	0	0	2.20149	0.540348
k141_51	751	2.86023	0	0	2.86023	1.21043
k141_53	577	2.58548	0	0	2.58548	1.34185
k141_55	9190	6.01372	5.9469	4.52055	0.0668142	0.0926652
k141_57	563	2.02179	0	0	2.02179	0.453407
k141_62	1065	7.57596	7.57596	9.18106	0	0
k141_63	634	1.85124	0	0	1.85124	0.404325
k141_64	697	7.15174	7.15174	4.46225	0	0
k141_67	12186	6.26562	6.26562	5.21406	0	0
k141_69	553	2.24814	0	0	2.24814	0.420859
k141_70	1673	40.9206	0	0	40.9206	1400.41
k141_72	4206	6.32939	6.32939	4.69445	0	0
k141_73	600	1.98889	0	0	1.98889	0.242637
k141_74	1184	3.30271	0	0	3.30271	2.10287
k141_75	587	2.91076	0	0	2.91076	0.696143
k141_76	516	1.64754	0	0	1.64754	0.228857
k141_77	516	2.81421	0	0	2.81421	2.77087
k141_78	514	2.31319	0	0	2.31319	0.480155
k141_79	652	3.12351	0	0	3.12351	0.850985
k141_80	610	2.78478	0	0	2.78478	1.06251
k141_81	705	4.23964	0	0	4.23964	1.8829
k141_86	1933	5.61638	5.61638	3.74724	0	0
k141_87	688	1.93309	0	0	1.93309	1.83909
k141_95	1071	2.29642	0	0	2.29642	0.710956
k141_102	657	4.03945	0	0	4.03945	2.4016
k141_106	661	3.41292	0	0	3.41292	1.29387
k141_108	1032	3.26077	0	0	3.26077	1.9728
k141_113	543	2.48346	0	0	2.48346	1.23506
k141_115	524	2.26738	0	0	2.26738	0.351909
k141_119	646	3.3871	0	0	3.3871	0.900358
k141_123	829	3.63181	0	0	3.63181	0.955678
k141_124	566	1.92308	0	0	1.92308	0.895278
k141_126	563	2.88136	0	0	2.88136	1.36211
k141_128	3855	5.69042	5.60891	4.77828	0.0815115	0.0748888
k141_130	623	1.90063	0	0	1.90063	0.35663
k141_133	635	2.80825	0	0	2.80825	0.316461
k141_137	604	2.46476	0	0	2.46476	0.907145
k141_139	504	1.66667	0	0	1.66667	0.222852
k141_140	638	2.2418	0	0	2.2418	0.918823
k141_141	655	3.4099	0	0	3.4099	0.758237
k141_143	522	2.65323	0	0	2.65323	0.92794
k141_144	531	2.23885	0	0	2.23885	0.645436
k141_147	1018	2.81912	0	0	2.81912	0.630451
k141_151	6589	6.40162	6.40162	4.3572	0	0
k141_153	724	3.05923	0	0	3.05923	3.47293
k141_154	774	3.15224	0	0	3.15224	1.78577
k141_156	1926	4.76633	4.76633	4.40231	0	0
k141_157	598	2.52232	0	0	2.52232	0.259009
k141_160	2639	5.41221	5.29088	6.5094	0.121334	0.106655
k141_161	552	2.44527	0	0	2.44527	0.337397
k141_164	637	1.55236	0	0	1.55236	0.43295
k141_165	45152	8.25928	8.25928	8.23526	0	0
k141_166	1659	6.15573	6.10272	7.3628	0.0530152	0.0502351
k141_167	656	2.71937	0	0	2.71937	0.958713
k141_168	5228	6.35841	6.29894	5.1579	0.0594722	0.055948
k141_172	543	2.38422	0	0	2.38422	0.247404
k141_174	778	1.63376	0	0	1.63376	0.321792
k141_175	647	1.70221	0	0	1.70221	0.358725
k141_177	4298	7.78303	7.78303	9.21791	0	0
k141_180	710	1.99643	0	0	1.99643	0.75133
k141_183	3219	5.04692	5.04692	3.71617	0	0
k141_185	11661	6.80488	6.75241	5.94013	0.0524715	0.049719
k141_189	2590	6.96639	6.96639	7.21253	0	0
k141_191	540	2.84872	0	0	2.84872	1.15187
k141_196	3182	6.49538	6.49538	4.44402	0	0
k141_197	522	2.58602	0	0	2.58602	1.59636
k141_198	543	2.93384	0	0	2.93384	0.612959
k141_200	2554	7.13686	7.13686	4.4419	0	0
k141_202	795	2.89147	0	0	2.89147	1.13106
k141_203	2314	7.15481	7.15481	6.86973	0	0
k141_204	660	2.73333	0	0	2.73333	0.804977
k141_205	535	2.17922	0	0	2.17922	0.392275
k141_208	5187	6.16419	6.13421	7.22738	0.0299782	0.0290854
k141_211	762	3.90523	0	0	3.90523	2.60967
k141_212	1783	5.53766	5.53766	3.13477	0	0
k141_213	533	2.6423	0	0	2.6423	0.277474
k141_215	527	2.4748	0	0	2.4748	0.845773
k141_216	9998	5.69253	5.69253	6.07178	0	0
k141_217	1225	5.15721	5.15721	5.33563	0	0
k141_218	839	1.67634	0	0	1.67634	0.254104
k141_219	616	1.86266	0	0	1.86266	0.604752
k141_222	2823	5.19529	5.0823	4.23276	0.112982	0.100255
k141_224	682	2.8797	0	0	2.8797	1.28493
k141_225	11176	5.54725	5.51986	5.36511	0.0273898	0.0266483
k141_227	5375	5.76976	5.71196	4.71704	0.057799	0.0544653
k141_228	708	2.48029	0	0	2.48029	1.19082
k141_230	575	3.67529	0	0	3.67529	0.837716
k141_233	643	1.78499	0	0	1.78499	0.221968
k141_234	5086	6.98784	6.86548	5.81104	0.122366	0.107418
k141_235	757	2.20099	0	0	2.20099	1.41499
k141_238	532	2.30628	0	0	2.30628	0.522744
k141_241	512	2.49171	0	0	2.49171	0.278324
k141_243	592	2.71041	0	0	2.71041	0.891003
k141_249	4804	6.5997	6.5997	7.10361	0	0
k141_254	14647	9.02973	9.02973	8.0302	0	0
k141_255	640	2.86531	0	0	2.86531	1.32742
k141_257	574	2.37736	0	0	2.37736	0.490832
k141_264	743	1.75042	0	0	1.75042	0.268686
k141_265	652	2.35458	0	0	2.35458	1.45486
k141_266	625	2.92632	0	0	2.92632	1.76459
k141_269	550	1.8075	0	0	1.8075	0.406459
k141_272	594	2.38288	0	0	2.38288	0.778578
k141_273	828	5.20206	0	0	5.20206	11.42
