assembly	binner	bin	n_contigs	total_length	n50	gc_pct
coassembly	concoct	coassembly.concoct.0	1	550	550	34.55
coassembly	concoct	coassembly.concoct.1	283	185564	640	40.13
coassembly	concoct	coassembly.concoct.10	1	519	519	53.76
coassembly	concoct	coassembly.concoct.11	3	2082	706	56.72
coassembly	concoct	coassembly.concoct.12	1	1019	1019	55.35
coassembly	concoct	coassembly.concoct.13	2	1228	697	31.76
coassembly	concoct	coassembly.concoct.14	1	534	534	35.96
coassembly	concoct	coassembly.concoct.15	1	686	686	51.90
coassembly	concoct	coassembly.concoct.16	274	913034	5589	50.36
coassembly	concoct	coassembly.concoct.17	1	662	662	53.02
coassembly	concoct	coassembly.concoct.2	1	743	743	35.67
coassembly	concoct	coassembly.concoct.3	1	663	663	37.10
coassembly	concoct	coassembly.concoct.4	1	1673	1673	31.02
coassembly	concoct	coassembly.concoct.5	63	901047	23119	43.50
coassembly	concoct	coassembly.concoct.6	2	1320	663	51.82
coassembly	concoct	coassembly.concoct.7	1	732	732	46.58
coassembly	concoct	coassembly.concoct.8	1	774	774	43.28
coassembly	concoct	coassembly.concoct.9	1	594	594	40.40
coassembly	metabat2	coassembly.metabat2.1	126	739095	7606	51.77
coassembly	metabat2	coassembly.metabat2.2	46	812511	23272	42.93
